"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"863",571946,"Miller, Shelby","863","100.0","0.317","0.180","0.336","0.497","0.384","0.382","0.279","58","183","89.6","13.5","2312","90.3","90.36","72","386","477","0.1","6.40","107","150","112","148","295","320","302"
"863",650644,"Civale, Aaron","863","100.0","0.216","0.152","0.252","0.368","0.269","0.278","0.233","44","204","86.6","15.0","2501","87.5","86.22","83","392","471","-1.3","5.46","111","154","116","152","292","317","290"
"861",594965,"Ponce de Leon, Daniel","861","100.0","0.207","0.144","0.256","0.351","0.287","0.291","0.206","36","174","88.3","15.2","2378","90.7","89.59","114","425","436","-1.1","5.58","113","152","109","149","295","319","297"
"855",445213,"Kintzler, Brandon","855","100.0","0.215","0.144","0.255","0.359","0.265","0.290","0.233","45","209","89.4","8.4","2066","91.1","91.44","71","386","469","0.3","6.31","111","151","111","151","297","321","299"
"848",473879,"Dyson, Sam","848","100.0","0.230","0.126","0.278","0.357","0.274","0.276","0.223","53","230","89.0","5.0","2395","91.6","89.76","77","422","426","-1.8","5.16","111","151","113","147","300","327","297"
"847",606273,"Elías, Roenis","847","100.0","0.236","0.190","0.259","0.426","0.306","0.328","0.250","46","195","88.4","15.9","2400","89.6","87.11","110","415","432","-2.5","5.27","107","152","111","145","296","318","293"
"839",451584,"Davis, Wade","839","100.0","0.291","0.183","0.349","0.474","0.374","0.364","0.272","51","175","89.4","14.9","2552","89.7","89.53","92","369","470","-0.2","5.80","115","152","115","147","312","334","310"
"837",663465,"Allard, Kolby","837","100.0","0.281","0.108","0.327","0.389","0.322","0.327","0.278","52","185","88.5","10.2","2042","88.4","87.63","72","382","455","-0.8","5.72","105","153","115","147","294","324","298"
"837",519151,"Pressly, Ryan","837","100.0","0.188","0.122","0.258","0.310","0.233","0.243","0.197","37","197","86.6","6.8","2880","89.6","88.44","153","425","412","-1.2","5.64","113","155","117","151","292","318","299"
"836",657031,"Taylor, Josh","836","100.0","0.229","0.114","0.321","0.343","0.280","0.261","0.196","40","175","86.5","13.2","2305","91.8","92.32","136","411","425","0.5","6.47","110","151","117","148","286","321","291"
"834",605359,"Marshall, Evan","834","100.0","0.228","0.125","0.266","0.353","0.289","0.297","0.224","42","184","86.8","10.5","2183","89.5","88.57","98","399","435","-0.9","5.63","109","149","114","147","293","320","295"
"832",504379,"Nicasio, Juan","832","100.0","0.298","0.141","0.368","0.440","0.339","0.345","0.284","57","191","89.4","9.7","2003","90.4","89.96","85","411","421","-0.4","5.93","110","151","119","149","301","324","294"
"824",657571,"Ferguson, Caleb","824","100.0","0.234","0.186","0.294","0.419","0.331","0.334","0.245","39","167","86.8","15.0","2465","90.5","89.90","94","401","423","-0.6","5.95","111","155","118","144","298","316","293"
"818",552640,"Kittredge, Andrew","818","100.0","0.263","0.144","0.336","0.407","0.305","0.281","0.228","51","194","86.9","6.3","2398","92.0","92.06","135","431","387","0.1","6.32","108","159","118","149","297","327","299"
"818",572703,"Bard, Luke","818","100.0","0.228","0.167","0.248","0.394","0.294","0.315","0.247","41","180","87.5","17.9","2760","89.6","89.09","106","374","444","-0.5","5.84","113","153","116","147","294","316","290"
"813",453265,"Watson, Tony","813","100.0","0.264","0.175","0.290","0.439","0.320","0.325","0.263","56","212","87.1","11.2","2352","89.6","88.54","111","428","385","-1.1","5.76","107","149","113","147","302","328","298"
"810",571704,"Giles, Ken","810","100.0","0.188","0.131","0.301","0.319","0.247","0.245","0.180","36","191","87.7","15.6","2284","91.7","90.00","164","410","400","-1.7","5.37","112","155","117","150","306","328","300"
"800",488748,"Buchter, Ryan","800","100.0","0.251","0.204","0.304","0.455","0.334","0.338","0.256","42","167","88.1","21.6","2229","88.7","88.78","98","375","425","0.1","6.36","110","147","120","149","298","324","300"
"797",643256,"Cimber, Adam","797","100.0","0.257","0.138","0.289","0.394","0.306","0.310","0.255","56","218","87.8","5.2","2144","82.0","81.74","82","406","391","-0.3","6.25","108","151","116","148","292","312","286"
"794",592473,"Kolarek, Adam","794","100.0","0.229","0.148","0.259","0.376","0.280","0.280","0.227","48","210","87.3","0.1","2140","87.4","86.87","93","382","412","-0.5","6.12","109","151","110","148","291","316","293"
"787",456696,"Hernandez, David","787","100.0","0.306","0.231","0.397","0.538","0.375","0.317","0.250","53","173","89.3","20.5","2350","89.2","88.77","128","398","389","-0.4","5.93","114","152","116","144","295","316","290"
"784",622446,"Rodriguez, Jefry","784","100.0","0.270","0.157","0.301","0.427","0.325","0.337","0.260","48","178","90.7","10.0","2273","90.2","90.79","69","371","413","0.6","6.57","112","153","115","148","286","309","288"
"779",592169,"Brice, Austin","779","100.0","0.214","0.150","0.248","0.364","0.292","0.293","0.215","37","173","87.9","13.5","2506","87.8","85.97","96","360","419","-1.8","5.20","108","156","118","148","303","324","297"
"779",593372,"Martínez, Carlos","779","100.0","0.220","0.068","0.301","0.288","0.263","0.275","0.208","39","177","86.7","7.1","2058","91.5","89.66","110","388","391","-1.8","5.19","111","150","110","148","298","323","299"
"777",657053,"Toussaint, Touki","777","100.0","0.270","0.147","0.345","0.417","0.352","0.324","0.225","44","163","87.5","13.5","2110","87.4","88.18","96","326","451","0.8","6.58","109","151","114","150","307","325","294"
"772",598271,"Johnson, Brian","772","100.0","0.315","0.220","0.359","0.536","0.388","0.340","0.257","53","168","88.5","13.5","2504","81.0","80.70","70","313","459","-0.3","6.14","109","151","117","148","290","320","290"
"770",642231,"Yacabonis, Jimmy","770","100.0","0.307","0.247","0.336","0.554","0.398","0.394","0.289","51","166","90.7","15.5","2323","89.9","88.74","74","324","446","-1.2","5.59","105","154","118","146","306","329","300"
"768",518875,"Kelley, Shawn","768","100.0","0.291","0.259","0.319","0.550","0.362","0.363","0.281","55","189","88.3","19.3","2414","86.2","86.15","95","405","363","-0.1","6.10","111","156","113","149","296","324","301"
"763",624133,"Suárez, Ranger","763","100.0","0.278","0.139","0.326","0.417","0.310","0.305","0.265","52","187","87.3","5.2","1906","88.8","88.31","78","350","413","-0.5","5.92","107","151","118","148","298","321","291"
"762",542947,"Bleier, Richard","762","100.0","0.295","0.177","0.317","0.473","0.333","0.286","0.251","65","220","89.0","1.9","1929","87.7","87.40","67","396","366","-0.3","6.11","106","151","112","146","299","324","298"
"759",606424,"García, Jarlín","759","100.0","0.216","0.103","0.250","0.319","0.259","0.307","0.242","40","185","88.2","11.8","2310","88.4","87.85","74","356","403","-0.5","6.01","105","154","115","148","302","325","297"
"753",614179,"Ruiz, José","753","100.0","0.335","0.168","0.391","0.503","0.390","0.351","0.275","56","167","88.3","18.7","2261","93.0","92.26","91","377","376","-0.7","5.78","108","147","113","145","293","319","293"
